,h,alpha,w,d,J,dis
0,0.0,[0.001087 0.997827 0.001087],15.847198,0.000313,0.000313,15.847511
1,0.1,[0.296525 0.406951 0.296525],5.882758,0.085473,0.665202,5.968231
2,0.2,[0.302484 0.395031 0.302484],5.872039,0.087191,1.244161,5.95923
3,0.3,[0.303806 0.392388 0.303806],5.871359,0.087572,1.822708,5.958931
4,0.4,[0.303504 0.392993 0.303504],5.871499,0.087485,2.401091,5.958984
5,0.5,[0.306044 0.387912 0.306044],5.870323,0.088217,2.97927,5.95854
6,0.6,[0.305884 0.388233 0.305884],5.870397,0.088171,3.557507,5.958568
7,0.7,[0.305809 0.388382 0.305809],5.870432,0.088149,4.135747,5.958581
8,0.8,[0.305739 0.388523 0.305739],5.870464,0.088129,4.713997,5.958593
9,0.9,[0.306152 0.387695 0.306152],5.87032,0.088248,5.292113,5.958568
10,1.0,[0.305618 0.388764 0.305618],5.87052,0.088094,5.87052,5.958614
